ID,Name,Type,Description,Year Acquired
R0016,The Unbroken Cog,Refractor Field,A gift from the Tech-Magi of Nox for protecting the Foundry Cities.,888
R0048,Mortal-Bond Plate,Chestpiece,Includes a small compartment for a scroll containing the names of fallen Serfs.,890
R0024,The Tectonic Plate,Storm Shield,Engraved with the map of the Ring of Steel; weighted for high-gravity combat.,895
R1024,Anchor-Keep Protocol,Signum,Coordinates orbital strikes from Deathwatch vessels with extreme precision.,899
R0004,The Lamented Link,Iron Halo,A soot-stained generator gifted by the Lamenters; its field hums with a mournful frequency.,905
R0020,The Bonded Blade,Power Sword,Its hilt is wrapped in the flight suit of a fallen Noxian PDF pilot.,912
R0046,Noxian Night-Eye,Helmet Sensor,Calibrated for the absolute darkness of the Nox-Hemisphere.,915
R0009,The Thresher’s Coil,Power Maul,Gifted by the Executioners; the head is a repurposed industrial crushing gear.,920
R1006,The Magnetic Hook,Grappling Launcher,Salvaged from a Halo Margin hulk; used for high-gravity boarding actions.,924
R0027,Link-Breaker’s End,Combat Knife,Taken from a defeated Chaos Lord; purified and reforged into a tool of justice.,930
R1019,Xenos-Hide Cloak,Relic Cape,Treated skin of a massive beast; provides protection against acidic spit.,939
R0032,Atmospheric Anchor,Jump Pack,Overpowered thrusters designed to function in Nox's 1.24 bar pressure.,940
R0008,Vrox’s Patience,Stalker Bolter,Precision rifle calibrated to pierce the thickest smog of the Verdigris Deep.,950
R1012,The Ghost-Anchor,Storm Shield,Flickers in and out of the material plane to deflect incoming fire.,959
R0037,The Terminator Line,Chainsword,The blade teeth rotate in alternating directions to maximize shredding.,960
R0010,Cinder-Plate Segment,Relic Pauldron,A piece of High Paladin Garrick's original armor; a physical tether to the Chapter's birth.,970
R1001,The Static Blade,Power Sword,Inlaid with Noctilith; disrupts xenos psychic shielding upon contact.,974
R0039,The Iron Pulse,Grav-Pistol,Utilizes the enhanced magnetic field of Nox to amplify its crushing force.,980
R0050,The Final Anchor,Storm Shield,An impossibly heavy shield that requires a secondary power-assist to lift.,999
R1014,The Hive-Piercer,Meltagun,A short-barreled variant optimized for clearing cramped Tyranid tunnels.,1001
R1020,The Gravity-Well,Grav-Gun,Modified to pin down fast-moving Aeldari raiders for the final blow.,1004
R1009,Noctis-Shroud,Camo-Cloak,Teal-dyed fibers woven with xenos light-bending technology.,1016
